id;cp;localidad;idProvincia
679;1686;Barrio Parada Gallo;1
680;2900;Barrio Parque;1
681;1613;Barrio Parque Alvear;1
682;1832;Barrio Parque Baron;1
683;7607;Barrio Parque Bristol;1
684;7600;Barrio Parque Camet;1
685;1665;Barrio Parque El Ombu;1
686;1856;Barrio Parque Ipona;1
687;1667;Barrio Parque Kanmar;1
688;7600;Barrio Parque La Florida;1
689;1663;Barrio Parque La Gloria;1
690;1623;Barrio Parque Lambare;1
691;7600;Barrio Parque Luro;1
692;1849;Barrio Parque Mariano Moreno;1
693;8000;Barrio Parque Patagonia;1
694;1708;Barrio Parque Peluffo;1
695;1669;Barrio Parque Pero;1
696;1686;Barrio Parque Quirno;1
697;1856;Barrio Parque Roma;1
698;1744;Barrio Parque Sambrizzi;1
699;1722;Barrio Parque San Martin;1
700;1665;Barrio Parque San Miguel;1
701;1828;Barrio Parque Union Y Fraternidad;1
702;1876;Barrio Pasco;1
703;7109;Barrio Pedro J. Rocco;1
704;8000;Barrio Pedro Pico;1
705;7600;Barrio Pinares;1
706;1669;Barrio Pinazo;1
707;1714;Barrio Pintemar;1
